transform,start_position,orbit_length,period_length,regularity,symmetry_score,angular_variance,first_six_orbit
12-Hour Clock,0,13,12,0.9230769230769231,0.43707372147816526,4.2897473674449715,"[0, 1, 2, 3, 4, 5]"
12-Hour Clock,1,13,12,0.9230769230769231,0.448908320623881,4.058077842650463,"[1, 2, 3, 4, 5, 6]"
12-Hour Clock,2,13,12,0.9230769230769231,0.4491837949600965,3.8727422228148565,"[2, 3, 4, 5, 6, 7]"
12-Hour Clock,3,13,12,0.9230769230769231,0.4361685118439207,3.733740507938151,"[3, 4, 5, 6, 7, 8]"
12-Hour Clock,4,13,12,0.9230769230769231,0.40885972362552403,3.641072698020349,"[4, 5, 6, 7, 8, 9]"
12-Hour Clock,5,13,12,0.9230769230769231,0.36708180094590837,3.594738793061447,"[5, 6, 7, 8, 9, 10]"
12-Hour Clock,6,13,12,0.9230769230769231,0.3670818009459087,3.5947387930614476,"[6, 7, 8, 9, 10, 11]"
12-Hour Clock,7,13,12,0.9230769230769231,0.4088597236255239,3.641072698020348,"[7, 8, 9, 10, 11, 0]"
8-Direction Compass,0,9,8,0.8888888888888888,0.4492988530062556,4.734625038970556,"[0, 1, 2, 3, 4, 5]"
8-Direction Compass,1,9,8,0.8888888888888888,0.4624457084131761,4.257183858570164,"[1, 2, 3, 4, 5, 6]"
8-Direction Compass,2,9,8,0.8888888888888888,0.43604343518455546,3.9388897383032364,"[2, 3, 4, 5, 6, 7]"
8-Direction Compass,3,9,8,0.8888888888888888,0.3634292287548746,3.779742678169771,"[3, 4, 5, 6, 7, 0]"
8-Direction Compass,4,9,8,0.8888888888888888,0.3634292287548746,3.779742678169771,"[4, 5, 6, 7, 0, 1]"
8-Direction Compass,5,9,8,0.8888888888888888,0.4360434351845556,3.9388897383032364,"[5, 6, 7, 0, 1, 2]"
8-Direction Compass,6,9,8,0.8888888888888888,0.4624457084131761,4.257183858570163,"[6, 7, 0, 1, 2, 3]"
8-Direction Compass,7,9,8,0.8888888888888888,0.4492988530062556,4.734625038970556,"[7, 0, 1, 2, 3, 4]"
Pentagon Vertices,0,6,5,0.8333333333333334,0.5000003749997187,5.483113556160753,"[0, 1, 2, 3, 4, 0]"
Pentagon Vertices,1,6,5,0.8333333333333334,0.4285719183669271,4.455029764380614,"[1, 2, 3, 4, 0, 1]"
Pentagon Vertices,2,6,5,0.8333333333333334,0.1835042355680383,4.112335167120566,"[2, 3, 4, 0, 1, 2]"
Pentagon Vertices,3,6,5,0.8333333333333334,0.4285719183669271,4.455029764380613,"[3, 4, 0, 1, 2, 3]"
Pentagon Vertices,4,6,5,0.8333333333333334,0.5000003749997186,5.483113556160753,"[4, 0, 1, 2, 3, 4]"
Hexagon Alternating,0,4,3,0.75,0.5285957934784393,6.785353025748934,"[0, 2, 4, 0]"
Hexagon Alternating,1,4,3,0.75,0.5285957934784393,4.342625936479317,"[1, 3, 5, 1]"
Hexagon Alternating,2,4,3,0.75,9.99998999939855e-07,4.934802200544679,"[2, 4, 0, 2]"
Hexagon Alternating,3,4,3,0.75,9.99998999939855e-07,3.1582734083485944,"[3, 5, 1, 3]"
Hexagon Alternating,4,4,3,0.75,0.5285957934784393,6.785353025748934,"[4, 0, 2, 4]"
Hexagon Alternating,5,4,3,0.75,0.5285957934784393,4.342625936479317,"[5, 1, 3, 5]"
Octagon Reflection,0,2,1,0.5,1.0,0.0,"[0, 0]"
Octagon Reflection,1,3,2,0.6666666666666666,0.6464467419891979,6.4454559354052945,"[1, 7, 1]"
Octagon Reflection,2,3,2,0.6666666666666666,0.6464468082803967,3.8991029732698705,"[2, 6, 2]"
Octagon Reflection,3,3,2,0.6666666666666666,0.6464470071538431,1.403677070377153,"[3, 5, 3]"
Octagon Reflection,4,2,1,0.5,1.0,0.0,"[4, 4]"
Octagon Reflection,5,3,2,0.6666666666666666,0.6464470071538435,1.403677070377153,"[5, 3, 5]"
Octagon Reflection,6,3,2,0.6666666666666666,0.6464468082803964,3.8991029732698705,"[6, 2, 6]"
Octagon Reflection,7,3,2,0.6666666666666666,0.6464467419891979,6.4454559354052945,"[7, 1, 7]"
