start_position,rotation_count,current_position,transform,modulus
0,0,0,8-Direction Compass,8
0,1,1,8-Direction Compass,8
0,2,2,8-Direction Compass,8
0,3,3,8-Direction Compass,8
0,4,4,8-Direction Compass,8
0,5,5,8-Direction Compass,8
0,6,6,8-Direction Compass,8
0,7,7,8-Direction Compass,8
0,8,0,8-Direction Compass,8
0,9,1,8-Direction Compass,8
0,10,2,8-Direction Compass,8
0,11,3,8-Direction Compass,8
0,12,4,8-Direction Compass,8
0,13,5,8-Direction Compass,8
0,14,6,8-Direction Compass,8
0,15,7,8-Direction Compass,8
0,16,0,8-Direction Compass,8
1,0,1,8-Direction Compass,8
1,1,2,8-Direction Compass,8
1,2,3,8-Direction Compass,8
1,3,4,8-Direction Compass,8
1,4,5,8-Direction Compass,8
1,5,6,8-Direction Compass,8
1,6,7,8-Direction Compass,8
1,7,0,8-Direction Compass,8
1,8,1,8-Direction Compass,8
1,9,2,8-Direction Compass,8
1,10,3,8-Direction Compass,8
1,11,4,8-Direction Compass,8
1,12,5,8-Direction Compass,8
1,13,6,8-Direction Compass,8
1,14,7,8-Direction Compass,8
1,15,0,8-Direction Compass,8
1,16,1,8-Direction Compass,8
2,0,2,8-Direction Compass,8
2,1,3,8-Direction Compass,8
2,2,4,8-Direction Compass,8
2,3,5,8-Direction Compass,8
2,4,6,8-Direction Compass,8
2,5,7,8-Direction Compass,8
2,6,0,8-Direction Compass,8
2,7,1,8-Direction Compass,8
2,8,2,8-Direction Compass,8
2,9,3,8-Direction Compass,8
2,10,4,8-Direction Compass,8
2,11,5,8-Direction Compass,8
2,12,6,8-Direction Compass,8
2,13,7,8-Direction Compass,8
2,14,0,8-Direction Compass,8
2,15,1,8-Direction Compass,8
2,16,2,8-Direction Compass,8
3,0,3,8-Direction Compass,8
3,1,4,8-Direction Compass,8
3,2,5,8-Direction Compass,8
3,3,6,8-Direction Compass,8
3,4,7,8-Direction Compass,8
3,5,0,8-Direction Compass,8
3,6,1,8-Direction Compass,8
3,7,2,8-Direction Compass,8
3,8,3,8-Direction Compass,8
3,9,4,8-Direction Compass,8
3,10,5,8-Direction Compass,8
3,11,6,8-Direction Compass,8
3,12,7,8-Direction Compass,8
3,13,0,8-Direction Compass,8
3,14,1,8-Direction Compass,8
3,15,2,8-Direction Compass,8
3,16,3,8-Direction Compass,8
4,0,4,8-Direction Compass,8
4,1,5,8-Direction Compass,8
4,2,6,8-Direction Compass,8
4,3,7,8-Direction Compass,8
4,4,0,8-Direction Compass,8
4,5,1,8-Direction Compass,8
4,6,2,8-Direction Compass,8
4,7,3,8-Direction Compass,8
4,8,4,8-Direction Compass,8
4,9,5,8-Direction Compass,8
4,10,6,8-Direction Compass,8
4,11,7,8-Direction Compass,8
4,12,0,8-Direction Compass,8
4,13,1,8-Direction Compass,8
4,14,2,8-Direction Compass,8
4,15,3,8-Direction Compass,8
4,16,4,8-Direction Compass,8
5,0,5,8-Direction Compass,8
5,1,6,8-Direction Compass,8
5,2,7,8-Direction Compass,8
5,3,0,8-Direction Compass,8
5,4,1,8-Direction Compass,8
5,5,2,8-Direction Compass,8
5,6,3,8-Direction Compass,8
5,7,4,8-Direction Compass,8
5,8,5,8-Direction Compass,8
5,9,6,8-Direction Compass,8
5,10,7,8-Direction Compass,8
5,11,0,8-Direction Compass,8
5,12,1,8-Direction Compass,8
5,13,2,8-Direction Compass,8
5,14,3,8-Direction Compass,8
5,15,4,8-Direction Compass,8
5,16,5,8-Direction Compass,8
6,0,6,8-Direction Compass,8
6,1,7,8-Direction Compass,8
6,2,0,8-Direction Compass,8
6,3,1,8-Direction Compass,8
6,4,2,8-Direction Compass,8
6,5,3,8-Direction Compass,8
6,6,4,8-Direction Compass,8
6,7,5,8-Direction Compass,8
6,8,6,8-Direction Compass,8
6,9,7,8-Direction Compass,8
6,10,0,8-Direction Compass,8
6,11,1,8-Direction Compass,8
6,12,2,8-Direction Compass,8
6,13,3,8-Direction Compass,8
6,14,4,8-Direction Compass,8
6,15,5,8-Direction Compass,8
6,16,6,8-Direction Compass,8
7,0,7,8-Direction Compass,8
7,1,0,8-Direction Compass,8
7,2,1,8-Direction Compass,8
7,3,2,8-Direction Compass,8
7,4,3,8-Direction Compass,8
7,5,4,8-Direction Compass,8
7,6,5,8-Direction Compass,8
7,7,6,8-Direction Compass,8
7,8,7,8-Direction Compass,8
7,9,0,8-Direction Compass,8
7,10,1,8-Direction Compass,8
7,11,2,8-Direction Compass,8
7,12,3,8-Direction Compass,8
7,13,4,8-Direction Compass,8
7,14,5,8-Direction Compass,8
7,15,6,8-Direction Compass,8
7,16,7,8-Direction Compass,8
