trial_number,running_probability,theoretical_probability,absolute_error
100,0.26,0.25,0.010000000000000009
200,0.25,0.25,0.0
300,0.27,0.25,0.020000000000000018
400,0.275,0.25,0.025000000000000022
500,0.272,0.25,0.02200000000000002
600,0.2633333333333333,0.25,0.013333333333333308
700,0.2642857142857143,0.25,0.01428571428571429
800,0.25625,0.25,0.006249999999999978
900,0.25222222222222224,0.25,0.0022222222222222365
1000,0.248,0.25,0.0020000000000000018
1100,0.24727272727272728,0.25,0.002727272727272717
1200,0.25416666666666665,0.25,0.004166666666666652
1300,0.25,0.25,0.0
1400,0.245,0.25,0.0050000000000000044
1500,0.242,0.25,0.008000000000000007
1600,0.240625,0.25,0.009374999999999994
1700,0.24411764705882352,0.25,0.0058823529411764774
1800,0.2427777777777778,0.25,0.007222222222222213
1900,0.24210526315789474,0.25,0.00789473684210526
2000,0.24,0.25,0.010000000000000009
2100,0.23761904761904762,0.25,0.012380952380952381
2200,0.23863636363636365,0.25,0.011363636363636354
2300,0.23869565217391303,0.25,0.011304347826086969
2400,0.23875,0.25,0.01125000000000001
2500,0.2384,0.25,0.0116
2600,0.2373076923076923,0.25,0.012692307692307697
2700,0.23777777777777778,0.25,0.012222222222222218
2800,0.23785714285714285,0.25,0.01214285714285715
2900,0.24,0.25,0.010000000000000009
3000,0.241,0.25,0.009000000000000008
3100,0.24096774193548387,0.25,0.00903225806451613
3200,0.24375,0.25,0.0062500000000000056
3300,0.24212121212121213,0.25,0.007878787878787874
3400,0.24294117647058824,0.25,0.007058823529411756
3500,0.24428571428571427,0.25,0.005714285714285727
3600,0.2427777777777778,0.25,0.007222222222222213
3700,0.24162162162162162,0.25,0.008378378378378376
3800,0.24210526315789474,0.25,0.00789473684210526
3900,0.2423076923076923,0.25,0.007692307692307693
4000,0.244,0.25,0.006000000000000005
4100,0.24536585365853658,0.25,0.004634146341463419
4200,0.24476190476190476,0.25,0.005238095238095236
4300,0.24325581395348836,0.25,0.006744186046511641
4400,0.24431818181818182,0.25,0.005681818181818177
4500,0.24488888888888888,0.25,0.005111111111111122
4600,0.2447826086956522,0.25,0.005217391304347813
4700,0.244468085106383,0.25,0.005531914893617013
4800,0.241875,0.25,0.008124999999999993
4900,0.24244897959183673,0.25,0.007551020408163273
5000,0.2426,0.25,0.00739999999999999
5100,0.2419607843137255,0.25,0.008039215686274498
5200,0.24192307692307694,0.25,0.008076923076923065
5300,0.24301886792452831,0.25,0.0069811320754716855
5400,0.24222222222222223,0.25,0.007777777777777772
5500,0.24345454545454545,0.25,0.006545454545454549
5600,0.24535714285714286,0.25,0.004642857142857143
5700,0.24754385964912282,0.25,0.002456140350877184
5800,0.24672413793103448,0.25,0.0032758620689655182
5900,0.24779661016949153,0.25,0.0022033898305084676
6000,0.24783333333333332,0.25,0.002166666666666678
6100,0.2480327868852459,0.25,0.0019672131147540906
6200,0.24838709677419354,0.25,0.0016129032258064557
6300,0.24888888888888888,0.25,0.0011111111111111183
6400,0.248125,0.25,0.0018749999999999878
6500,0.24815384615384614,0.25,0.0018461538461538585
6600,0.24924242424242424,0.25,0.0007575757575757625
6700,0.2501492537313433,0.25,0.00014925373134327957
6800,0.25,0.25,0.0
6900,0.24971014492753624,0.25,0.00028985507246376274
7000,0.25085714285714283,0.25,0.0008571428571428341
7100,0.25140845070422535,0.25,0.0014084507042253502
7200,0.25166666666666665,0.25,0.0016666666666666496
7300,0.25123287671232875,0.25,0.0012328767123287454
7400,0.25135135135135134,0.25,0.0013513513513513375
7500,0.2518666666666667,0.25,0.0018666666666666831
7600,0.2517105263157895,0.25,0.0017105263157894957
7700,0.25207792207792207,0.25,0.0020779220779220675
7800,0.2537179487179487,0.25,0.003717948717948727
7900,0.2541772151898734,0.25,0.004177215189873407
8000,0.25325,0.25,0.003249999999999975
8100,0.25320987654320987,0.25,0.0032098765432098664
8200,0.25378048780487805,0.25,0.003780487804878052
8300,0.2544578313253012,0.25,0.004457831325301198
8400,0.25452380952380954,0.25,0.004523809523809541
8500,0.25576470588235295,0.25,0.0057647058823529496
8600,0.2558139534883721,0.25,0.005813953488372103
8700,0.25551724137931037,0.25,0.005517241379310367
8800,0.25477272727272726,0.25,0.004772727272727262
8900,0.2547191011235955,0.25,0.004719101123595526
9000,0.25533333333333336,0.25,0.005333333333333357
9100,0.2543956043956044,0.25,0.00439560439560438
9200,0.25478260869565217,0.25,0.0047826086956521685
9300,0.2550537634408602,0.25,0.005053763440860226
9400,0.255,0.25,0.0050000000000000044
9500,0.2554736842105263,0.25,0.005473684210526297
9600,0.2548958333333333,0.25,0.0048958333333333215
9700,0.25536082474226807,0.25,0.005360824742268067
9800,0.2548979591836735,0.25,0.004897959183673473
9900,0.25515151515151513,0.25,0.005151515151515129
10000,0.2559,0.25,0.005900000000000016
