transform,start_point,period_length,preperiod_length,orbit_length,first_five_orbit
Mod7 Shift,0,7,0,8,"[0, 1, 2, 3, 4]"
Mod7 Shift,1,7,0,8,"[1, 2, 3, 4, 5]"
Mod7 Shift,2,7,0,8,"[2, 3, 4, 5, 6]"
Mod7 Shift,3,7,0,8,"[3, 4, 5, 6, 0]"
Mod7 Shift,4,7,0,8,"[4, 5, 6, 0, 1]"
Mod7 Shift,5,7,0,8,"[5, 6, 0, 1, 2]"
Mod7 Shift,6,7,0,8,"[6, 0, 1, 2, 3]"
Mod7 Shift,7,7,1,9,"[7, 1, 2, 3, 4]"
Mod12 Double,0,1,0,2,"[0, 0]"
Mod12 Double,1,2,2,5,"[1, 2, 4, 8, 4]"
Mod12 Double,2,2,1,4,"[2, 4, 8, 4]"
Mod12 Double,3,1,2,4,"[3, 6, 0, 0]"
Mod12 Double,4,2,0,3,"[4, 8, 4]"
Mod12 Double,5,2,2,5,"[5, 10, 8, 4, 8]"
Mod12 Double,6,1,1,3,"[6, 0, 0]"
Mod12 Double,7,2,2,5,"[7, 2, 4, 8, 4]"
Mod10 +3,0,10,0,11,"[0, 3, 6, 9, 2]"
Mod10 +3,1,10,0,11,"[1, 4, 7, 0, 3]"
Mod10 +3,2,10,0,11,"[2, 5, 8, 1, 4]"
Mod10 +3,3,10,0,11,"[3, 6, 9, 2, 5]"
Mod10 +3,4,10,0,11,"[4, 7, 0, 3, 6]"
Mod10 +3,5,10,0,11,"[5, 8, 1, 4, 7]"
Mod10 +3,6,10,0,11,"[6, 9, 2, 5, 8]"
Mod10 +3,7,10,0,11,"[7, 0, 3, 6, 9]"
Mod8 Square,0,1,0,2,"[0, 0]"
Mod8 Square,1,1,0,2,"[1, 1]"
Mod8 Square,2,1,2,4,"[2, 4, 0, 0]"
Mod8 Square,3,1,1,3,"[3, 1, 1]"
Mod8 Square,4,1,1,3,"[4, 0, 0]"
Mod8 Square,5,1,1,3,"[5, 1, 1]"
Mod8 Square,6,1,2,4,"[6, 4, 0, 0]"
Mod8 Square,7,1,1,3,"[7, 1, 1]"
