time,lean_decayAmount_nat,mc_mean,q05,q95,real_expectation
0,100,100.0,100.0,100.0,100.0
1,100,100.0,100.0,100.0,100.0
2,100,100.0,100.0,100.0,100.0
3,100,100.0,100.0,100.0,100.0
4,100,100.0,100.0,100.0,100.0
5,100,100.0,100.0,100.0,100.0
6,100,100.0,100.0,100.0,100.0
7,100,100.0,100.0,100.0,100.0
8,100,100.0,100.0,100.0,100.0
9,100,100.0,100.0,100.0,100.0
10,50,49.9572,42.0,58.0,50.0
11,50,49.9572,42.0,58.0,50.0
12,50,49.9572,42.0,58.0,50.0
13,50,49.9572,42.0,58.0,50.0
14,50,49.9572,42.0,58.0,50.0
15,50,49.9572,42.0,58.0,50.0
16,50,49.9572,42.0,58.0,50.0
17,50,49.9572,42.0,58.0,50.0
18,50,49.9572,42.0,58.0,50.0
19,50,49.9572,42.0,58.0,50.0
20,25,24.925,18.0,32.0,25.0
21,25,24.925,18.0,32.0,25.0
22,25,24.925,18.0,32.0,25.0
23,25,24.925,18.0,32.0,25.0
24,25,24.925,18.0,32.0,25.0
25,25,24.925,18.0,32.0,25.0
26,25,24.925,18.0,32.0,25.0
27,25,24.925,18.0,32.0,25.0
28,25,24.925,18.0,32.0,25.0
29,25,24.925,18.0,32.0,25.0
30,12,12.452,7.0,18.0,12.5
31,12,12.452,7.0,18.0,12.5
32,12,12.452,7.0,18.0,12.5
33,12,12.452,7.0,18.0,12.5
34,12,12.452,7.0,18.0,12.5
35,12,12.452,7.0,18.0,12.5
36,12,12.452,7.0,18.0,12.5
37,12,12.452,7.0,18.0,12.5
38,12,12.452,7.0,18.0,12.5
39,12,12.452,7.0,18.0,12.5
40,6,6.2444,3.0,10.0,6.25
41,6,6.2444,3.0,10.0,6.25
42,6,6.2444,3.0,10.0,6.25
43,6,6.2444,3.0,10.0,6.25
44,6,6.2444,3.0,10.0,6.25
45,6,6.2444,3.0,10.0,6.25
46,6,6.2444,3.0,10.0,6.25
47,6,6.2444,3.0,10.0,6.25
48,6,6.2444,3.0,10.0,6.25
49,6,6.2444,3.0,10.0,6.25
50,3,3.1354,1.0,6.0,3.125
51,3,3.1354,1.0,6.0,3.125
52,3,3.1354,1.0,6.0,3.125
53,3,3.1354,1.0,6.0,3.125
54,3,3.1354,1.0,6.0,3.125
55,3,3.1354,1.0,6.0,3.125
56,3,3.1354,1.0,6.0,3.125
57,3,3.1354,1.0,6.0,3.125
58,3,3.1354,1.0,6.0,3.125
59,3,3.1354,1.0,6.0,3.125
60,1,1.5706,0.0,4.0,1.5625
61,1,1.5706,0.0,4.0,1.5625
62,1,1.5706,0.0,4.0,1.5625
63,1,1.5706,0.0,4.0,1.5625
64,1,1.5706,0.0,4.0,1.5625
65,1,1.5706,0.0,4.0,1.5625
66,1,1.5706,0.0,4.0,1.5625
67,1,1.5706,0.0,4.0,1.5625
68,1,1.5706,0.0,4.0,1.5625
69,1,1.5706,0.0,4.0,1.5625
70,0,0.787,0.0,2.0,0.78125
71,0,0.787,0.0,2.0,0.78125
72,0,0.787,0.0,2.0,0.78125
73,0,0.787,0.0,2.0,0.78125
74,0,0.787,0.0,2.0,0.78125
75,0,0.787,0.0,2.0,0.78125
76,0,0.787,0.0,2.0,0.78125
77,0,0.787,0.0,2.0,0.78125
78,0,0.787,0.0,2.0,0.78125
79,0,0.787,0.0,2.0,0.78125
80,0,0.3978,0.0,2.0,0.390625
81,0,0.3978,0.0,2.0,0.390625
82,0,0.3978,0.0,2.0,0.390625
83,0,0.3978,0.0,2.0,0.390625
84,0,0.3978,0.0,2.0,0.390625
85,0,0.3978,0.0,2.0,0.390625
86,0,0.3978,0.0,2.0,0.390625
87,0,0.3978,0.0,2.0,0.390625
88,0,0.3978,0.0,2.0,0.390625
89,0,0.3978,0.0,2.0,0.390625
90,0,0.2044,0.0,1.0,0.1953125
91,0,0.2044,0.0,1.0,0.1953125
92,0,0.2044,0.0,1.0,0.1953125
93,0,0.2044,0.0,1.0,0.1953125
94,0,0.2044,0.0,1.0,0.1953125
95,0,0.2044,0.0,1.0,0.1953125
96,0,0.2044,0.0,1.0,0.1953125
97,0,0.2044,0.0,1.0,0.1953125
98,0,0.2044,0.0,1.0,0.1953125
99,0,0.2044,0.0,1.0,0.1953125
100,0,0.1076,0.0,1.0,0.09765625
