transform,start_position,sequence_length,period_length,unique_positions,position_range_min,position_range_max,average_position
10-Tooth Gear,0,10,10,10,0,9,4.5
10-Tooth Gear,1,10,10,10,0,9,4.5
10-Tooth Gear,5,10,10,10,0,9,4.5
10-Tooth Gear,10,11,10,11,0,10,5.0
10-Tooth Gear,25,11,10,11,0,25,6.363636363636363
10-Tooth Gear,50,11,10,11,0,50,8.636363636363637
24-Hour Planet,0,24,24,24,0,23,11.5
24-Hour Planet,1,24,24,24,0,23,11.5
24-Hour Planet,5,24,24,24,0,23,11.5
24-Hour Planet,10,24,24,24,0,23,11.5
24-Hour Planet,25,25,24,25,0,25,12.04
24-Hour Planet,50,25,24,25,0,50,13.04
Fibonacci Spiral,0,7,4,7,0,11,4.142857142857143
Fibonacci Spiral,1,6,4,6,1,11,4.833333333333333
Fibonacci Spiral,5,4,4,4,2,11,6.25
Fibonacci Spiral,10,8,4,8,0,11,4.875
Fibonacci Spiral,25,8,4,8,0,25,6.75
Fibonacci Spiral,50,8,4,8,2,50,12.5
8-Bit Binary,0,1,1,1,0,0,0.0
8-Bit Binary,1,8,8,8,1,128,31.875
8-Bit Binary,5,8,8,8,5,160,63.75
8-Bit Binary,10,8,8,8,5,160,63.75
8-Bit Binary,25,8,8,8,25,200,95.625
8-Bit Binary,50,8,8,8,25,200,95.625
Prime Steps,0,11,11,11,0,16,7.2727272727272725
Prime Steps,1,11,11,11,0,16,7.2727272727272725
Prime Steps,5,11,11,11,0,16,7.2727272727272725
Prime Steps,10,12,11,12,0,16,7.5
Prime Steps,25,13,11,13,0,25,8.846153846153847
Prime Steps,50,13,11,13,0,50,10.153846153846153
Harmonic 12-Tone,0,12,12,12,0,11,5.5
Harmonic 12-Tone,1,12,12,12,0,11,5.5
Harmonic 12-Tone,5,12,12,12,0,11,5.5
Harmonic 12-Tone,10,12,12,12,0,11,5.5
Harmonic 12-Tone,25,13,12,13,0,25,7.0
Harmonic 12-Tone,50,13,12,13,0,50,8.923076923076923
Golden Ratio,0,6,6,6,0,16,7.0
Golden Ratio,1,6,6,6,0,16,7.0
Golden Ratio,5,15,6,15,0,20,10.2
Golden Ratio,10,8,6,8,0,16,8.125
Golden Ratio,25,9,6,9,0,25,10.0
Golden Ratio,50,14,6,14,0,50,13.642857142857142
