initial_value,iteration,value,transform
5,0,5,Tent Map
5,1,10,Tent Map
5,2,20,Tent Map
5,3,40,Tent Map
5,4,80,Tent Map
5,5,40,Tent Map
5,6,80,Tent Map
5,7,40,Tent Map
5,8,80,Tent Map
5,9,40,Tent Map
5,10,80,Tent Map
15,0,15,Tent Map
15,1,30,Tent Map
15,2,60,Tent Map
15,3,80,Tent Map
15,4,40,Tent Map
15,5,80,Tent Map
15,6,40,Tent Map
15,7,80,Tent Map
15,8,40,Tent Map
15,9,80,Tent Map
15,10,40,Tent Map
25,0,25,Tent Map
25,1,50,Tent Map
25,2,0,Tent Map
25,3,0,Tent Map
25,4,0,Tent Map
25,5,0,Tent Map
25,6,0,Tent Map
25,7,0,Tent Map
25,8,0,Tent Map
25,9,0,Tent Map
25,10,0,Tent Map
35,0,35,Tent Map
35,1,70,Tent Map
35,2,60,Tent Map
35,3,80,Tent Map
35,4,40,Tent Map
35,5,80,Tent Map
35,6,40,Tent Map
35,7,80,Tent Map
35,8,40,Tent Map
35,9,80,Tent Map
35,10,40,Tent Map
45,0,45,Tent Map
45,1,90,Tent Map
45,2,20,Tent Map
45,3,40,Tent Map
45,4,80,Tent Map
45,5,40,Tent Map
45,6,80,Tent Map
45,7,40,Tent Map
45,8,80,Tent Map
45,9,40,Tent Map
45,10,80,Tent Map
55,0,55,Tent Map
55,1,90,Tent Map
55,2,20,Tent Map
55,3,40,Tent Map
55,4,80,Tent Map
55,5,40,Tent Map
55,6,80,Tent Map
55,7,40,Tent Map
55,8,80,Tent Map
55,9,40,Tent Map
55,10,80,Tent Map
65,0,65,Tent Map
65,1,70,Tent Map
65,2,60,Tent Map
65,3,80,Tent Map
65,4,40,Tent Map
65,5,80,Tent Map
65,6,40,Tent Map
65,7,80,Tent Map
65,8,40,Tent Map
65,9,80,Tent Map
65,10,40,Tent Map
75,0,75,Tent Map
75,1,50,Tent Map
75,2,0,Tent Map
75,3,0,Tent Map
75,4,0,Tent Map
75,5,0,Tent Map
75,6,0,Tent Map
75,7,0,Tent Map
75,8,0,Tent Map
75,9,0,Tent Map
75,10,0,Tent Map
